Protein	Protein ID	Entry Name	Gene	Description	14WIS Spectral Count	14WS Spectral Count	34WIS Spectral Count	34WS Spectral Count	39WIS Spectral Count	39WS Spectral Count	46WIS Spectral Count	46WS Spectral Count	55WIS Spectral Count	55WS Spectral Count	61WIS Spectral Count	61WS Spectral Count	80WIS Spectral Count	80WS Spectral Count	82WIS Spectral Count	82WS Spectral Count
sp|P02488|CRYAA_MACMU	P02488	CRYAA_MACMU	CRYAA	Alpha-crystallin A chain	1582	1203	2449	1497	1510	1731	2087	1634	1974	1203	2150	1226	1816	999	2697	825
tr|F7H3G0|F7H3G0_MACMU	F7H3G0	F7H3G0_MACMU	CRYAB	Alpha-crystallin B chain	1026	547	1496	845	1053	788	1233	834	917	497	1268	759	1138	530	1552	440
tr|F7F0F8|F7F0F8_MACMU	F7F0F8	F7F0F8_MACMU	CRYBB1	Crystallin beta B1	336	1519	369	1045	323	1001	300	1098	637	1143	293	794	324	1184	459	1028
tr|F7FCM9|F7FCM9_MACMU	F7FCM9	F7FCM9_MACMU	CRYBB2	Crystallin beta B2	290	826	537	933	366	760	357	788	579	920	568	917	258	645	486	757
tr|F6T4W0|F6T4W0_MACMU	F6T4W0	F6T4W0_MACMU	CRYBA1	Crystallin beta A1	308	1017	293	830	264	734	228	760	544	820	274	622	280	806	461	760
tr|F6WSD9|F6WSD9_MACMU	F6WSD9	F6WSD9_MACMU	CRYGS	Crystallin gamma S	229	1295	205	689	190	559	130	619	544	1184	241	622	236	912	289	1043
sp|A3RLD8|CRGC_MACMU	A3RLD8	CRGC_MACMU	CRYGC	Gamma-crystallin C	169	821	199	908	212	806	173	900	339	722	247	761	150	820	157	708
tr|F7GTI9|F7GTI9_MACMU	F7GTI9	F7GTI9_MACMU	BFSP2	Beaded filament structural protein 2	642	41	1313	20	837	49	1077	19	728	47	1232	47	605	45	871	27
tr|F6T1N8|F6T1N8_MACMU	F6T1N8	F6T1N8_MACMU	BFSP1	Filensin	572	36	1228	27	786	60	918	30	581	64	1002	66	587	57	703	50
tr|F6YK88|F6YK88_MACMU	F6YK88	F6YK88_MACMU	BHMT2	Betaine--homocysteine S-methyltransferase 2	250	562	171	431	363	525	279	475	260	429	142	344	368	422	374	406
tr|F7F0G3|F7F0G3_MACMU	F7F0G3	F7F0G3_MACMU	CRYBA4	Crystallin beta A4	186	543	192	416	127	399	119	397	243	446	172	349	152	356	249	361
tr|F6PWY4|F6PWY4_MACMU	F6PWY4	F6PWY4_MACMU	CRYGD	Crystallin gamma D	128	550	119	392	106	376	99	372	281	499	149	305	105	456	200	418
tr|F7FCN3|F7FCN3_MACMU	F7FCN3	F7FCN3_MACMU	CRYBB3	Crystallin beta B3	141	303	178	262	173	289	228	363	150	214	167	247	116	309	176	286
tr|A0A5S7X113|A0A5S7X113_MACMU	A0A5S7X113	A0A5S7X113_MACMU	CRYGB	Crystallin gamma B	61	271	63	275	59	243	57	228	169	317	71	238	62	276	75	260
